CustomerID,OrderMonth,PreviousOrderMonth
13013,2011-12,2011-11
13018,2011-03,2011-02
13018,2011-04,2011-03
13018,2011-05,2011-04
13018,2011-06,2011-05
13018,2011-07,2011-06
13018,2011-08,2011-07
13018,2011-09,2011-08
13018,2011-10,2011-09
13018,2011-11,2011-10
13021,2011-02,2010-12
13021,2011-03,2011-02
13021,2011-06,2011-05
13021,2011-07,2011-06
13021,2011-12,2011-11
13026,2011-12,2011-11
13027,2011-03,2010-12
13027,2011-04,2011-03
13027,2011-08,2011-07
13028,2011-11,2011-10
13029,2011-07,2010-12
13030,2011-11,2010-12
13034,2011-10,2010-12
13069,2011-01,2010-12
13069,2011-02,2011-01
13069,2011-03,2011-02
13069,2011-04,2011-03
13069,2011-05,2011-04
13069,2011-06,2011-05
13069,2011-07,2011-06
13069,2011-08,2011-07
13069,2011-09,2011-08
13069,2011-10,2011-09
13069,2011-11,2011-10
13069,2011-12,2011-11
13078,2011-01,2010-12
13078,2011-02,2011-01
13078,2011-03,2011-02
13078,2011-04,2011-03
13078,2011-05,2011-04
13078,2011-06,2011-05
13078,2011-07,2011-06
13078,2011-08,2011-07
13078,2011-09,2011-08
13078,2011-10,2011-09
13078,2011-11,2011-10
13078,2011-12,2011-11
13079,2011-12,2011-11
13090,2011-01,2010-12
13090,2011-02,2011-01
13090,2011-03,2011-02
13090,2011-04,2011-03
13090,2011-07,2011-06
13090,2011-08,2011-07
13090,2011-11,2011-10
13090,2011-12,2011-11
13092,2011-03,2010-12
13092,2011-04,2011-03
13092,2011-05,2011-04
13093,2011-01,2010-12
13093,2011-02,2011-01
13093,2011-03,2011-02
13094,2011-01,2010-12
13094,2011-02,2011-01
13094,2011-03,2011-02
13094,2011-06,2011-05
13094,2011-07,2011-06
13094,2011-08,2011-07
13094,2011-09,2011-08
13098,2011-02,2011-01
13098,2011-03,2011-02
13098,2011-04,2011-03
13098,2011-05,2011-04
13098,2011-06,2011-05
13098,2011-07,2011-06
13098,2011-08,2011-07
13098,2011-09,2011-08
13098,2011-10,2011-09
13098,2011-11,2011-10
13098,2011-12,2011-11
13104,2011-03,2010-12
13104,2011-10,2011-09
13106,2011-08,2011-07
13107,2011-10,2011-09
13110,2011-03,2011-02
13110,2011-11,2011-10
13113,2011-01,2010-12
13113,2011-02,2011-01
13113,2011-03,2011-02
13113,2011-04,2011-03
13113,2011-05,2011-04
13113,2011-06,2011-05
13113,2011-11,2011-10
13113,2011-12,2011-11
13115,2011-01,2010-12
13115,2011-02,2011-01
13115,2011-07,2011-06
13115,2011-10,2011-09
13115,2011-11,2011-10
13115,2011-12,2011-11
13116,2011-08,2011-07
13118,2011-03,2011-02
13124,2011-04,2010-12
13126,2011-01,2010-12
13126,2011-10,2011-09
13126,2011-11,2011-10
13126,2011-12,2011-11
13133,2011-03,2011-02
13138,2011-04,2010-12
13138,2011-10,2011-09
13138,2011-11,2011-10
13139,2011-09,2011-08
13140,2011-08,2010-12
13141,2011-02,2011-01
13141,2011-05,2011-04
13145,2011-08,2010-12
13145,2011-09,2011-08
13145,2011-10,2011-09
13147,2011-10,2011-09
13147,2011-11,2011-10
13148,2011-01,2010-12
13148,2011-04,2011-03
13148,2011-07,2011-06
13148,2011-08,2011-07
13149,2011-08,2011-07
13155,2011-01,2010-12
13158,2011-08,2011-07
13158,2011-09,2011-08
13167,2011-08,2011-07
13167,2011-11,2011-10
13168,2011-02,2011-01
13171,2011-11,2011-10
13171,2011-12,2011-11
13174,2011-01,2010-12
13178,2011-02,2010-12
13178,2011-05,2011-04
13178,2011-06,2011-05
13178,2011-07,2011-06
13184,2011-07,2011-06
13184,2011-08,2011-07
13200,2011-09,2011-08
13208,2011-05,2011-04
13211,2011-09,2010-12
13213,2011-06,2011-05
13223,2011-05,2011-04
13232,2011-05,2011-04
13232,2011-06,2011-05
13238,2011-06,2010-12
13240,2011-03,2010-12
13246,2011-02,2011-01
13246,2011-06,2011-05
13247,2011-10,2011-09
13247,2011-11,2011-10
13255,2011-11,2010-12
13255,2011-12,2011-11
13261,2011-03,2011-02
13265,2011-04,2011-03
13265,2011-10,2011-09
13276,2011-10,2011-09
13277,2011-08,2011-07
13279,2011-10,2011-09
13282,2011-06,2011-05
13309,2011-10,2011-09
13310,2011-12,2011-11
13317,2011-04,2010-12
13317,2011-05,2011-04
13317,2011-06,2011-05
13323,2011-12,2011-11
13327,2011-02,2010-12
13327,2011-03,2011-02
13327,2011-07,2011-06
13327,2011-08,2011-07
13329,2011-11,2010-12
13340,2011-08,2011-07
13345,2011-03,2011-02
13350,2011-10,2011-09
13350,2011-11,2011-10
13388,2011-08,2011-07
13394,2011-03,2011-02
13394,2011-08,2011-07
13394,2011-09,2011-08
13394,2011-10,2011-09
13394,2011-11,2011-10
13394,2011-12,2011-11
13416,2011-10,2011-09
13429,2011-10,2011-09
13429,2011-11,2011-10
13450,2011-08,2011-07
13450,2011-09,2011-08
13458,2011-01,2010-12
13458,2011-02,2011-01
13458,2011-03,2011-02
13458,2011-04,2011-03
13458,2011-05,2011-04
13458,2011-06,2011-05
13458,2011-07,2011-06
13458,2011-10,2011-09
13458,2011-11,2011-10
13458,2011-12,2011-11
13460,2011-11,2011-10
13468,2011-01,2010-12
13468,2011-02,2011-01
13468,2011-03,2011-02
13468,2011-04,2011-03
13468,2011-05,2011-04
13468,2011-06,2011-05
13468,2011-07,2011-06
13468,2011-08,2011-07
13468,2011-09,2011-08
13468,2011-10,2011-09
13468,2011-11,2011-10
13468,2011-12,2011-11
13471,2011-11,2011-10
13471,2011-12,2011-11
13489,2011-08,2011-07
13491,2011-01,2010-12
13491,2011-02,2011-01
13491,2011-03,2011-02
13491,2011-04,2011-03
13506,2011-01,2010-12
13509,2011-03,2011-02
13509,2011-10,2011-09
13510,2011-07,2011-06
13510,2011-10,2011-09
13520,2011-01,2010-12
13520,2011-07,2011-06
13520,2011-08,2011-07
13521,2011-12,2011-11
13523,2011-05,2010-12
13523,2011-06,2011-05
13523,2011-11,2011-10
13531,2011-05,2010-12
13534,2011-01,2010-12
13534,2011-02,2011-01
13534,2011-03,2011-02
13534,2011-04,2011-03
13534,2011-05,2011-04
13534,2011-06,2011-05
13534,2011-07,2011-06
13534,2011-08,2011-07
13534,2011-11,2011-10
13534,2011-12,2011-11
13536,2011-10,2011-09
13536,2011-11,2011-10
13536,2011-12,2011-11
13546,2011-11,2011-10
13552,2011-06,2011-05
13552,2011-09,2011-08
13552,2011-10,2011-09
13564,2011-07,2010-12
13571,2011-04,2011-03
13571,2011-05,2011-04
13571,2011-06,2011-05
13571,2011-07,2011-06
13571,2011-08,2011-07
13571,2011-09,2011-08
13571,2011-10,2011-09
13571,2011-11,2011-10
13576,2011-01,2010-12
13576,2011-02,2011-01
13576,2011-03,2011-02
13576,2011-04,2011-03
13576,2011-05,2011-04
13576,2011-06,2011-05
13576,2011-07,2011-06
13576,2011-08,2011-07
13576,2011-09,2011-08
13576,2011-10,2011-09
13576,2011-11,2011-10
13587,2011-11,2011-10
13596,2011-12,2011-11
13599,2011-01,2010-12
13599,2011-02,2011-01
13599,2011-03,2011-02
13599,2011-04,2011-03
13599,2011-05,2011-04
13599,2011-06,2011-05
13599,2011-07,2011-06
13599,2011-12,2011-11
13610,2011-07,2011-06
13610,2011-08,2011-07
13610,2011-11,2011-10
13627,2011-05,2010-12
13627,2011-06,2011-05
13627,2011-07,2011-06
13627,2011-10,2011-09
13629,2011-02,2011-01
13629,2011-05,2011-04
13629,2011-06,2011-05
13629,2011-07,2011-06
13629,2011-10,2011-09
13629,2011-11,2011-10
13631,2011-06,2011-05
13631,2011-07,2011-06
13634,2011-09,2011-08
13636,2011-03,2011-02
13636,2011-04,2011-03
13647,2011-10,2011-09
13647,2011-11,2011-10
13652,2011-03,2010-12
13654,2011-04,2011-03
13654,2011-05,2011-04
13658,2011-06,2011-05
13662,2011-06,2011-05
13672,2011-02,2011-01
13681,2011-11,2011-10
13700,2011-04,2011-03
13700,2011-10,2011-09
13700,2011-11,2011-10
13735,2011-11,2011-10
13752,2011-05,2011-04
13752,2011-06,2011-05
13752,2011-07,2011-06
13752,2011-08,2011-07
13755,2011-11,2011-10
13755,2011-12,2011-11
13763,2011-07,2011-06
13769,2011-01,2010-12
13769,2011-04,2011-03
13769,2011-05,2011-04
13769,2011-08,2011-07
13769,2011-09,2011-08
13769,2011-12,2011-11
13771,2011-05,2011-04
13771,2011-06,2011-05
13777,2011-01,2010-12
13777,2011-02,2011-01
13777,2011-03,2011-02
13777,2011-04,2011-03
13777,2011-05,2011-04
13777,2011-06,2011-05
13777,2011-07,2011-06
13777,2011-08,2011-07
13777,2011-09,2011-08
13777,2011-10,2011-09
13777,2011-11,2011-10
13777,2011-12,2011-11
13782,2011-11,2011-10
13808,2011-10,2011-09
13813,2011-08,2011-07
13813,2011-09,2011-08
13813,2011-10,2011-09
13815,2011-07,2011-06
13817,2011-11,2010-12
13824,2011-05,2011-04
13831,2011-05,2010-12
13835,2011-11,2011-10
13842,2011-01,2010-12
13842,2011-02,2011-01
13842,2011-03,2011-02
13842,2011-04,2011-03
13842,2011-05,2011-04
13842,2011-10,2011-09
13850,2011-09,2011-08
13851,2011-09,2011-08
13860,2011-10,2011-09
13860,2011-11,2011-10
13860,2011-12,2011-11
13865,2011-07,2011-06
13870,2011-07,2011-06
13870,2011-08,2011-07
13870,2011-11,2011-10
13870,2011-12,2011-11
13871,2011-03,2011-02
13871,2011-04,2011-03
13871,2011-05,2011-04
13871,2011-06,2011-05
13871,2011-07,2011-06
13871,2011-08,2011-07
13871,2011-09,2011-08
13871,2011-10,2011-09
13871,2011-11,2011-10
13881,2011-03,2011-02
13881,2011-04,2011-03
13881,2011-05,2011-04
13881,2011-06,2011-05
13881,2011-07,2011-06
13881,2011-08,2011-07
13881,2011-09,2011-08
13881,2011-10,2011-09
13881,2011-11,2011-10
13881,2011-12,2011-11
13895,2011-07,2011-06
13895,2011-11,2011-10
13900,2011-06,2011-05
13901,2011-08,2011-07
13901,2011-09,2011-08
13914,2011-12,2011-11
13924,2011-10,2011-09
13924,2011-11,2011-10
13924,2011-12,2011-11
13925,2011-08,2011-07
13925,2011-09,2011-08
13941,2011-02,2010-12
13941,2011-07,2011-06
13952,2011-05,2011-04
13954,2011-10,2011-09
13956,2011-04,2011-03
13963,2011-01,2010-12
13963,2011-02,2011-01
13971,2011-03,2011-02
13971,2011-06,2011-05
13971,2011-11,2011-10
13971,2011-12,2011-11
13978,2011-11,2011-10
13984,2011-01,2010-12
13984,2011-08,2011-07
13985,2011-06,2011-05
13985,2011-07,2011-06
13985,2011-08,2011-07
13985,2011-09,2011-08
13985,2011-10,2011-09
13985,2011-11,2011-10
13985,2011-12,2011-11
13988,2011-06,2011-05
13988,2011-10,2011-09
13988,2011-11,2011-10
13991,2011-10,2011-09
13991,2011-11,2011-10
13994,2011-08,2011-07
13994,2011-09,2011-08
13994,2011-10,2011-09
13995,2011-08,2011-07
13995,2011-11,2011-10
13999,2011-01,2010-12
13999,2011-06,2011-05
13999,2011-07,2011-06
13999,2011-08,2011-07
13999,2011-09,2011-08
13999,2011-10,2011-09
13999,2011-11,2011-10
14016,2011-03,2010-12
14019,2011-10,2011-09
14030,2011-02,2010-12
14030,2011-09,2011-08
14037,2011-06,2010-12
14040,2011-05,2011-04
14040,2011-06,2011-05
14040,2011-07,2011-06
14040,2011-08,2011-07
14040,2011-09,2011-08
14040,2011-10,2011-09
14045,2011-01,2010-12
14047,2011-01,2010-12
14053,2011-08,2011-07
14056,2011-03,2011-02
14056,2011-04,2011-03
14056,2011-05,2011-04
14056,2011-06,2011-05
14056,2011-07,2011-06
14056,2011-08,2011-07
14056,2011-09,2011-08
14056,2011-10,2011-09
14056,2011-11,2011-10
14056,2011-12,2011-11
14067,2011-10,2011-09
14075,2011-12,2011-11
14077,2011-04,2011-03
14077,2011-10,2011-09
14081,2011-02,2010-12
14081,2011-03,2011-02
14085,2011-01,2010-12
14085,2011-02,2011-01
14085,2011-03,2011-02
14085,2011-06,2011-05
14085,2011-07,2011-06
14085,2011-11,2011-10
14085,2011-12,2011-11
14108,2011-09,2011-08
14111,2011-09,2011-08
14113,2011-01,2010-12
14113,2011-02,2011-01
14113,2011-10,2011-09
14113,2011-11,2011-10
14113,2011-12,2011-11
14116,2011-09,2011-08
14116,2011-10,2011-09
14116,2011-11,2011-10
14126,2011-12,2011-11
14127,2011-03,2011-02
14132,2011-07,2011-06
14132,2011-08,2011-07
14132,2011-09,2011-08
14132,2011-10,2011-09
14132,2011-11,2011-10
14132,2011-12,2011-11
14135,2011-01,2010-12
14135,2011-06,2011-05
14135,2011-09,2011-08
14135,2011-12,2011-11
14141,2011-09,2011-08
14141,2011-10,2011-09
14147,2011-10,2011-09
14150,2011-11,2010-12
14156,2011-01,2010-12
14156,2011-02,2011-01
14156,2011-03,2011-02
14156,2011-04,2011-03
14156,2011-05,2011-04
14156,2011-06,2011-05
14156,2011-07,2011-06
14156,2011-08,2011-07
14156,2011-09,2011-08
14156,2011-10,2011-09
14156,2011-11,2011-10
14159,2011-03,2010-12
14159,2011-07,2011-06
14159,2011-10,2011-09
14159,2011-11,2011-10
14173,2011-11,2011-10
14176,2011-01,2010-12
14176,2011-02,2011-01
14180,2011-01,2010-12
14180,2011-02,2011-01
14180,2011-03,2011-02
14180,2011-04,2011-03
14180,2011-05,2011-04
14180,2011-06,2011-05
14180,2011-07,2011-06
14180,2011-08,2011-07
14180,2011-09,2011-08
14180,2011-10,2011-09
14180,2011-11,2011-10
14188,2011-08,2011-07
14188,2011-09,2011-08
14188,2011-10,2011-09
14188,2011-11,2011-10
14188,2011-12,2011-11
14189,2011-01,2010-12
14189,2011-02,2011-01
14189,2011-03,2011-02
14189,2011-04,2011-03
14189,2011-05,2011-04
14189,2011-08,2011-07
14189,2011-09,2011-08
14189,2011-10,2011-09
14189,2011-11,2011-10
14189,2011-12,2011-11
14198,2011-12,2011-11
14201,2011-04,2010-12
14201,2011-05,2011-04
14201,2011-06,2011-05
14201,2011-07,2011-06
14201,2011-10,2011-09
14210,2011-01,2010-12
14210,2011-02,2011-01
14210,2011-05,2011-04
14210,2011-09,2011-08
14215,2011-01,2010-12
14217,2011-01,2010-12
14217,2011-02,2011-01
14217,2011-03,2011-02
14217,2011-04,2011-03
14217,2011-05,2011-04
14217,2011-06,2011-05
14217,2011-07,2011-06
14217,2011-10,2011-09
14217,2011-11,2011-10
14217,2011-12,2011-11
14220,2011-04,2010-12
14224,2011-08,2011-07
14227,2011-03,2011-02
14227,2011-04,2011-03
14227,2011-05,2011-04
14227,2011-06,2011-05
14227,2011-10,2011-09
14227,2011-11,2011-10
14231,2011-03,2011-02
14231,2011-04,2011-03
14232,2011-07,2011-06
14232,2011-08,2011-07
14232,2011-11,2011-10
14233,2011-02,2011-01
14235,2011-04,2011-03
14236,2011-09,2010-12
14243,2011-01,2010-12
14243,2011-02,2011-01
14243,2011-03,2011-02
14243,2011-04,2011-03
14243,2011-07,2011-06
14243,2011-12,2011-11
14246,2011-08,2011-07
14256,2011-03,2010-12
14262,2011-08,2011-07
14262,2011-09,2011-08
14262,2011-10,2011-09
14262,2011-11,2011-10
14262,2011-12,2011-11
14267,2011-04,2011-03
14267,2011-07,2011-06
14276,2011-03,2011-02
14286,2011-10,2011-09
14286,2011-11,2011-10
14289,2011-05,2011-04
14289,2011-06,2011-05
14289,2011-07,2011-06
14290,2011-01,2010-12
14290,2011-10,2011-09
14290,2011-11,2011-10
14291,2011-06,2011-05
14298,2011-01,2010-12
14298,2011-02,2011-01
14298,2011-03,2011-02
14298,2011-04,2011-03
14298,2011-05,2011-04
14298,2011-06,2011-05
14298,2011-07,2011-06
14298,2011-08,2011-07
14298,2011-09,2011-08
14298,2011-10,2011-09
14298,2011-11,2011-10
14298,2011-12,2011-11
14305,2011-08,2011-07
14305,2011-09,2011-08
14307,2011-01,2010-12
14309,2011-01,2010-12
14309,2011-02,2011-01
14309,2011-12,2011-11
14315,2011-07,2011-06
14315,2011-08,2011-07
14315,2011-11,2011-10
14321,2011-09,2011-08
14329,2011-02,2011-01
14329,2011-03,2011-02
14329,2011-04,2011-03
14329,2011-07,2011-06
14329,2011-08,2011-07
14329,2011-11,2011-10
14329,2011-12,2011-11
14331,2011-08,2011-07
14338,2011-06,2011-05
14338,2011-07,2011-06
14341,2011-08,2011-07
14344,2011-03,2010-12
14344,2011-08,2011-07
14352,2011-04,2011-03
14354,2011-12,2011-11
14367,2011-04,2011-03
14367,2011-05,2011-04
14367,2011-06,2011-05
14367,2011-07,2011-06
14367,2011-10,2011-09
14367,2011-11,2011-10
14367,2011-12,2011-11
14383,2011-11,2011-10
14387,2011-09,2011-08
14390,2011-04,2010-12
14390,2011-05,2011-04
14390,2011-11,2011-10
14395,2011-01,2010-12
14395,2011-04,2011-03
14395,2011-05,2011-04
14395,2011-06,2011-05
14395,2011-10,2011-09
14396,2011-10,2010-12
14401,2011-01,2010-12
14401,2011-07,2011-06
14401,2011-08,2011-07
14401,2011-09,2011-08
14401,2011-12,2011-11
14403,2011-05,2011-04
14403,2011-08,2011-07
14407,2011-04,2011-03
14407,2011-05,2011-04
14407,2011-08,2011-07
14409,2011-01,2010-12
14409,2011-08,2011-07
14409,2011-09,2011-08
14414,2011-07,2010-12
14414,2011-08,2011-07
14414,2011-09,2011-08
14418,2011-12,2011-11
14419,2011-04,2010-12
14419,2011-10,2011-09
14419,2011-11,2011-10
14422,2011-10,2011-09
14422,2011-11,2011-10
14422,2011-12,2011-11
14426,2011-01,2010-12
14426,2011-07,2011-06
14428,2011-10,2011-09
14428,2011-11,2011-10
14428,2011-12,2011-11
14432,2011-10,2011-09
14432,2011-11,2011-10
14443,2011-02,2010-12
14446,2011-12,2011-11
14449,2011-04,2010-12
14449,2011-11,2011-10
14461,2011-07,2011-06
14462,2011-02,2011-01
14462,2011-03,2011-02
14462,2011-06,2011-05
14462,2011-07,2011-06
14462,2011-08,2011-07
14462,2011-09,2011-08
14462,2011-10,2011-09
14472,2011-01,2010-12
14472,2011-02,2011-01
14472,2011-03,2011-02
14472,2011-07,2011-06
14472,2011-08,2011-07
14477,2011-11,2011-10
14479,2011-03,2010-12
14491,2011-06,2010-12
14493,2011-11,2011-10
14493,2011-12,2011-11
14496,2011-02,2010-12
14503,2011-12,2011-11
14504,2011-04,2011-03
14507,2011-11,2011-10
14513,2011-03,2011-02
14525,2011-01,2010-12
14525,2011-04,2011-03
14525,2011-11,2011-10
14525,2011-12,2011-11
14527,2011-01,2010-12
14527,2011-02,2011-01
14527,2011-03,2011-02
14527,2011-04,2011-03
14527,2011-05,2011-04
14527,2011-06,2011-05
14527,2011-07,2011-06
14527,2011-08,2011-07
14527,2011-09,2011-08
14527,2011-10,2011-09
