InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
562545,22178,VICTORIAN GLASS HANGING T-LIGHT,96,2011-08-05,1.06,12971,United Kingdom,101.76
562549,23256,CHILDRENS CUTLERY SPACEBOY ,12,2011-08-05,4.15,17092,United Kingdom,49.8
562551,23177,TREASURE ISLAND BOOK BOX,1,2011-08-05,2.25,17231,United Kingdom,2.25
562553,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1,2011-08-05,10.79,Unknown,United Kingdom,10.79
562593,22977,DOLLY GIRL CHILDRENS EGG CUP,4,2011-08-07,1.25,16549,United Kingdom,5.0
562608,23168,CLASSIC CAFE SUGAR DISPENSER,12,2011-08-08,1.25,15502,United Kingdom,15.0
562611,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-08-08,2.55,17716,United Kingdom,81.6
562621,23256,CHILDRENS CUTLERY SPACEBOY ,4,2011-08-08,4.15,14415,United Kingdom,16.6
562711,22413,METAL SIGN TAKE IT OR LEAVE IT ,1,2011-08-08,2.95,16788,United Kingdom,2.95
562715,22341,LOVE GARLAND PAINTED ZINC ,2,2011-08-08,3.29,Unknown,United Kingdom,6.58
562733,21668,RED STRIPE CERAMIC DRAWER KNOB,12,2011-08-09,1.25,14626,United Kingdom,15.0
562779,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,2011-08-09,8.5,17841,United Kingdom,8.5
562781,22692,DOORMAT WELCOME TO OUR HOME,2,2011-08-09,7.95,14334,United Kingdom,15.9
C562808,23187,FRENCH STYLE STORAGE JAR BONBONS,-5,2011-08-09,0.29,18282,United Kingdom,-1.45
561911,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2011-08-01,0.85,12534,Germany,10.2
561917,22386,JUMBO BAG PINK POLKADOT,3,2011-08-01,2.08,16904,United Kingdom,6.24
562024,20616,CHERRY BLOSSOM PASSPORT COVER,1,2011-08-01,1.63,Unknown,United Kingdom,1.63
562113,21561,DINOSAUR LUNCH BOX WITH CUTLERY,1,2011-08-02,4.96,Unknown,United Kingdom,4.96
562161,47563A,RETRO LONGBOARD IRONING BOARD COVER,1,2011-08-03,1.25,17841,United Kingdom,1.25
562163,22077,6 RIBBONS RUSTIC CHARM,12,2011-08-03,1.65,15628,United Kingdom,19.8
562204,22563,HAPPY STENCIL CRAFT,14,2011-08-03,1.25,16324,United Kingdom,17.5
562204,21194,PINK  HONEYCOMB PAPER FAN,1,2011-08-03,0.65,16324,United Kingdom,0.65
562217,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-08-03,1.45,17659,United Kingdom,17.4
562256,21871,SAVE THE PLANET MUG,12,2011-08-03,1.25,15152,United Kingdom,15.0
562263,84341B,SMALL PINK MAGIC CHRISTMAS TREE,10,2011-08-03,0.38,17514,United Kingdom,3.8
562273,85114B,IVORY ENCHANTED FOREST PLACEMAT,6,2011-08-04,1.65,12502,Spain,9.899999999999999
562387,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,12,2011-08-04,2.95,13402,United Kingdom,35.40000000000001
562420,21155,RED RETROSPOT PEG BAG,1,2011-08-04,4.96,Unknown,United Kingdom,4.96
562457,22713,CARD I LOVE LONDON ,12,2011-08-05,0.42,18079,United Kingdom,5.04
562460,84692,BOX OF 24 COCKTAIL PARASOLS,3,2011-08-05,0.42,17841,United Kingdom,1.26
562468,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2011-08-05,1.25,16928,United Kingdom,15.0
562490,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2011-08-05,9.95,14720,United Kingdom,19.9
562490,21790,VINTAGE SNAP CARDS,12,2011-08-05,0.85,14720,United Kingdom,10.2
562517,20723,STRAWBERRY CHARLOTTE BAG,4,2011-08-05,0.85,15719,United Kingdom,3.4
562517,22898,CHILDRENS APRON APPLES DESIGN,1,2011-08-05,1.95,15719,United Kingdom,1.95
562540,23069,EDWARDIAN PHOTO FRAME,2,2011-08-05,6.25,17400,United Kingdom,12.5
562540,21793,CLASSIC FRENCH STYLE BASKET BROWN,3,2011-08-05,3.95,17400,United Kingdom,11.85
562549,22701,PINK DOG BOWL,2,2011-08-05,2.95,17092,United Kingdom,5.9
562553,21172,PARTY METAL SIGN ,2,2011-08-05,4.13,Unknown,United Kingdom,8.26
562558,23275,SET OF 3 HANGING OWLS OLLIE BEAK,6,2011-08-05,1.25,13451,United Kingdom,7.5
562558,21576,LETS GO SHOPPING COTTON TOTE BAG,2,2011-08-05,2.25,13451,United Kingdom,4.5
562608,22624,IVORY KITCHEN SCALES,2,2011-08-08,8.5,15502,United Kingdom,17.0
562610,21915,RED  HARMONICA IN BOX ,700,2011-08-08,1.06,16333,United Kingdom,742.0
562612,22747,POPPY'S PLAYHOUSE BATHROOM,6,2011-08-08,2.1,16637,United Kingdom,12.6
562670,22914,BLUE COAT RACK PARIS FASHION,3,2011-08-08,4.95,14911,EIRE,14.85
562688,22300,COFFEE MUG DOG + BALL DESIGN,6,2011-08-08,2.55,13869,United Kingdom,15.3
562711,20982,12 PENCILS TALL TUBE SKULLS,1,2011-08-08,0.85,16788,United Kingdom,0.85
562772,22200,FRYING PAN PINK POLKADOT,1,2011-08-09,4.25,13097,United Kingdom,4.25
562780,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,2011-08-09,1.25,14901,United Kingdom,15.0
562807,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2011-08-09,1.45,16053,United Kingdom,17.4
561917,23301,GARDENERS KNEELING PAD KEEP CALM ,4,2011-08-01,1.65,16904,United Kingdom,6.6
561925,21213,PACK OF 72 SKULL CAKE CASES,72,2011-08-01,0.55,16551,United Kingdom,39.6
561967,21932,SCANDINAVIAN PAISLEY PICNIC BAG,1,2011-08-01,1.65,12844,United Kingdom,1.65
562031,90036A,FLOWER GARLAND NECKLACE RED,1,2011-08-01,7.95,16984,United Kingdom,7.95
562044,22711,WRAP CIRCUS PARADE,25,2011-08-02,0.42,16607,United Kingdom,10.5
562046,22074,6 RIBBONS SHIMMERING PINKS ,12,2011-08-02,1.65,12378,Switzerland,19.8
562125,22274,FELTCRAFT DOLL EMILY,1,2011-08-02,2.95,17887,United Kingdom,2.95
562158,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2011-08-03,7.95,15039,United Kingdom,7.95
562204,90200B,BLACK SWEETHEART BRACELET,1,2011-08-03,4.25,16324,United Kingdom,4.25
562210,84580,MOUSE TOY WITH PINK T-SHIRT,4,2011-08-03,3.75,13486,United Kingdom,15.0
562213,20992,JAZZ HEARTS PURSE NOTEBOOK,8,2011-08-03,0.39,13975,United Kingdom,3.12
562218,23342,MINT DINER WALL CLOCK,2,2011-08-03,8.5,13851,United Kingdom,17.0
562269,22398,MAGNETS PACK OF 4 SWALLOWS,24,2011-08-03,0.39,14056,United Kingdom,9.36
562269,23050,RECYCLED ACAPULCO MAT GREEN,2,2011-08-03,8.25,14056,United Kingdom,16.5
562286,22467,GUMBALL COAT RACK,18,2011-08-04,2.1,15061,United Kingdom,37.8
562332,20728,LUNCH BAG CARS BLUE,100,2011-08-04,1.45,13791,United Kingdom,145.0
562370,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2011-08-04,1.65,12626,Germany,39.59999999999999
562419,22384,LUNCH BAG PINK POLKADOT,1,2011-08-04,1.65,14667,United Kingdom,1.65
562420,10133,COLOURING PENCILS BROWN TUBE,1,2011-08-04,0.83,Unknown,United Kingdom,0.83
562432,22193,RED DINER WALL CLOCK,4,2011-08-04,8.5,14004,United Kingdom,34.0
562517,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,2,2011-08-05,1.25,15719,United Kingdom,2.5
562518,23012,GLASS APOTHECARY BOTTLE PERFUME,4,2011-08-05,3.95,16818,United Kingdom,15.8
562553,23200,JUMBO BAG PEARS,1,2011-08-05,4.13,Unknown,United Kingdom,4.13
562560,84843,WHITE SOAP RACK WITH 2 BOTTLES,1,2011-08-05,5.95,14156,EIRE,5.95
562567,20719,WOODLAND CHARLOTTE BAG,10,2011-08-07,0.85,12877,United Kingdom,8.5
562580,85099F,JUMBO BAG STRAWBERRY,10,2011-08-07,2.08,14024,United Kingdom,20.8
562586,22119,PEACE WOODEN BLOCK LETTERS,12,2011-08-07,6.35,16066,United Kingdom,76.19999999999999
562593,20726,LUNCH BAG WOODLAND,2,2011-08-07,1.65,16549,United Kingdom,3.3
562599,22963,JAM JAR WITH GREEN LID,12,2011-08-08,0.85,13013,United Kingdom,10.2
562602,85049C,ROMANTIC PINKS RIBBONS ,12,2011-08-08,1.25,12865,Austria,15.0
562607,22950,36 DOILIES VINTAGE CHRISTMAS,12,2011-08-08,1.45,12885,United Kingdom,17.4
562608,22460,EMBOSSED GLASS TEALIGHT HOLDER,24,2011-08-08,1.25,15502,United Kingdom,30.0
562680,85099B,JUMBO BAG RED RETROSPOT,4,2011-08-08,2.08,17954,United Kingdom,8.32
562711,22624,IVORY KITCHEN SCALES,1,2011-08-08,8.5,16788,United Kingdom,8.5
562715,22335,HEART DECORATION PAINTED ZINC ,5,2011-08-08,1.25,Unknown,United Kingdom,6.25
562715,22377,BOTTLE BAG RETROSPOT ,1,2011-08-08,4.13,Unknown,United Kingdom,4.13
562717,75049L,LARGE CIRCULAR MIRROR MOBILE,12,2011-08-08,2.46,Unknown,United Kingdom,29.52
562776,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2011-08-09,1.25,14180,United Kingdom,15.0
562784,20728,LUNCH BAG CARS BLUE,1,2011-08-09,1.65,16791,United Kingdom,1.65
562838,21162,TOXIC AREA  DOOR HANGER ,24,2011-08-09,0.39,13162,United Kingdom,9.36
562842,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-08-09,2.55,17675,United Kingdom,81.6
561905,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2011-08-01,2.55,14947,United Kingdom,20.4
561910,21531,RED RETROSPOT SUGAR JAM BOWL,6,2011-08-01,2.1,17053,United Kingdom,12.6
561911,85049H,URBAN BLACK RIBBONS ,12,2011-08-01,1.25,12534,Germany,15.0
561917,23301,GARDENERS KNEELING PAD KEEP CALM ,2,2011-08-01,1.65,16904,United Kingdom,3.3
561917,23138,SINGLE WIRE HOOK IVORY HEART,2,2011-08-01,1.45,16904,United Kingdom,2.9
561923,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-08-01,0.55,14112,United Kingdom,13.2
561926,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-08-01,1.45,12749,United Kingdom,17.4
561926,23232,WRAP VINTAGE LEAF DESIGN,75,2011-08-01,0.42,12749,United Kingdom,31.5
561968,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-08-01,2.55,16332,United Kingdom,15.3
561968,21866,UNION JACK FLAG LUGGAGE TAG,1,2011-08-01,1.25,16332,United Kingdom,1.25
562024,23029,DRAWER KNOB CRACKLE GLAZE GREEN,10,2011-08-01,3.29,Unknown,United Kingdom,32.9
562046,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2011-08-02,14.95,12378,Switzerland,14.95
562102,82551,LAUNDRY 15C METAL SIGN,12,2011-08-02,1.45,13089,United Kingdom,17.4
562108,22439,6 ROCKET BALLOONS ,3,2011-08-02,0.65,17809,United Kingdom,1.95
562113,21880,RED RETROSPOT TAPE,2,2011-08-02,0.42,Unknown,United Kingdom,0.84
562113,22361,GLASS JAR DAISY FRESH COTTON WOOL,1,2011-08-02,5.79,Unknown,United Kingdom,5.79
562113,22993,SET OF 4 PANTRY JELLY MOULDS,1,2011-08-02,2.46,Unknown,United Kingdom,2.46
562113,82567,"AIRLINE LOUNGE,METAL SIGN",1,2011-08-02,1.63,Unknown,United Kingdom,1.63
562114,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1,2011-08-02,1.63,Unknown,United Kingdom,1.63
562129,48188,DOORMAT WELCOME PUPPIES,6,2011-08-03,7.95,13186,United Kingdom,47.7
562129,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-08-03,2.95,13186,United Kingdom,17.7
562131,22568,FELTCRAFT CUSHION OWL,4,2011-08-03,3.75,18178,United Kingdom,15.0
562163,23167,SMALL CERAMIC TOP STORAGE JAR ,12,2011-08-03,0.83,15628,United Kingdom,9.959999999999999
562200,22626,BLACK KITCHEN SCALES,2,2011-08-03,8.5,17719,United Kingdom,17.0
562204,90205C,LARGE CRYSTAL DIAMANTE HAIRSLIDE,1,2011-08-03,1.65,16324,United Kingdom,1.65
562204,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-08-03,2.95,16324,United Kingdom,2.95
562218,22418,10 COLOUR SPACEBOY PEN,24,2011-08-03,0.85,13851,United Kingdom,20.4
562260,23014,GLASS APOTHECARY BOTTLE ELIXIR,12,2011-08-03,3.45,13408,United Kingdom,41.40000000000001
562264,84251C,"GREETING CARD, TWO SISTERS.",1,2011-08-03,0.83,Unknown,United Kingdom,0.83
562275,23287,RED VINTAGE SPOT BEAKER,8,2011-08-04,0.85,12689,France,6.8
562276,23199,JUMBO BAG APPLES,10,2011-08-04,2.08,17735,United Kingdom,20.8
562282,23233,WRAP POPPIES  DESIGN,50,2011-08-04,0.42,13098,United Kingdom,21.0
562283,22568,FELTCRAFT CUSHION OWL,4,2011-08-04,3.75,15249,United Kingdom,15.0
562283,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-08-04,2.95,15249,United Kingdom,17.7
562339,20719,WOODLAND CHARLOTTE BAG,3,2011-08-04,0.85,13571,United Kingdom,2.55
562340,85099B,JUMBO BAG RED RETROSPOT,10,2011-08-04,2.08,13985,United Kingdom,20.8
562340,23286,BLUE VINTAGE SPOT BEAKER,8,2011-08-04,0.85,13985,United Kingdom,6.8
562340,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,2011-08-04,4.15,13985,United Kingdom,16.6
562374,22192,BLUE DINER WALL CLOCK,12,2011-08-04,7.65,14911,EIRE,91.80000000000001
562379,22492,MINI PAINT SET VINTAGE ,36,2011-08-04,0.65,15134,United Kingdom,23.4
562389,16218,CARTOON  PENCIL SHARPENERS,80,2011-08-04,0.06,16531,United Kingdom,4.8
562417,22699,ROSES REGENCY TEACUP AND SAUCER ,4,2011-08-04,5.79,Unknown,United Kingdom,23.16
562420,23124,18PC WOODEN CUTLERY SET DISPOSABLE,1,2011-08-04,2.46,Unknown,United Kingdom,2.46
562422,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,2011-08-04,1.65,13218,United Kingdom,19.8
562427,23193,BUFFALO BILL TREASURE BOOK BOX,1,2011-08-04,2.25,17267,United Kingdom,2.25
562445,23245,SET OF 3 REGENCY CAKE TINS,4,2011-08-04,4.95,12417,Belgium,19.8
562457,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,2011-08-05,3.25,18079,United Kingdom,3.25
562523,47566,PARTY BUNTING,8,2011-08-05,4.95,16174,United Kingdom,39.6
562528,22621,TRADITIONAL KNITTING NANCY,12,2011-08-05,1.65,12610,Italy,19.8
562532,22498,WOODEN REGATTA BUNTING,3,2011-08-05,5.95,14083,United Kingdom,17.85
562535,22792,FLUTED ANTIQUE CANDLE HOLDER,12,2011-08-05,0.85,13200,United Kingdom,10.2
562549,22751,FELTCRAFT PRINCESS OLIVIA DOLL,3,2011-08-05,3.75,17092,United Kingdom,11.25
562558,23263,SET OF 3 WOODEN HEART DECORATIONS,6,2011-08-05,1.25,13451,United Kingdom,7.5
562560,23298,SPOTTY BUNTING,4,2011-08-05,4.95,14156,EIRE,19.8
562580,23299,FOOD COVER WITH BEADS SET 2 ,6,2011-08-07,3.75,14024,United Kingdom,22.5
562589,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,2011-08-07,1.25,15198,United Kingdom,30.0
562611,22621,TRADITIONAL KNITTING NANCY,12,2011-08-08,1.65,17716,United Kingdom,19.8
562619,22386,JUMBO BAG PINK POLKADOT,4,2011-08-08,2.08,15311,United Kingdom,8.32
562688,85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,4,2011-08-08,4.25,13869,United Kingdom,17.0
562688,22904,CALENDAR PAPER CUT DESIGN,6,2011-08-08,2.95,13869,United Kingdom,17.7
562717,22670,FRENCH WC SIGN BLUE METAL,1,2011-08-08,2.46,Unknown,United Kingdom,2.46
C562773,22424,ENAMEL BREAD BIN CREAM,-2,2011-08-09,12.75,17841,United Kingdom,-25.5
562779,23147,SINGLE ANTIQUE ROSE HOOK IVORY,1,2011-08-09,1.45,17841,United Kingdom,1.45
562843,22341,LOVE GARLAND PAINTED ZINC ,2,2011-08-09,3.29,Unknown,United Kingdom,6.58
561910,22637,PIGGY BANK RETROSPOT ,12,2011-08-01,2.1,17053,United Kingdom,25.2
561911,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,2011-08-01,2.25,12534,Germany,13.5
561926,22776,SWEETHEART CAKESTAND 3 TIER,3,2011-08-01,9.95,12749,United Kingdom,29.85
561967,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,3,2011-08-01,0.39,12844,United Kingdom,1.17
561968,23167,SMALL CERAMIC TOP STORAGE JAR ,3,2011-08-01,0.83,16332,United Kingdom,2.49
562023,23029,DRAWER KNOB CRACKLE GLAZE GREEN,6,2011-08-01,1.65,16814,United Kingdom,9.899999999999999
562024,21876,POTTERING MUG,1,2011-08-01,3.29,Unknown,United Kingdom,3.29
562031,22811,SET OF 6 T-LIGHTS CACTI ,2,2011-08-01,2.95,16984,United Kingdom,5.9
562093,20679,EDWARDIAN PARASOL RED,6,2011-08-02,4.95,13777,United Kingdom,29.7
562100,22423,REGENCY CAKESTAND 3 TIER,2,2011-08-02,12.75,13437,United Kingdom,25.5
562108,21914,BLUE HARMONICA IN BOX ,5,2011-08-02,1.25,17809,United Kingdom,6.25
562113,22016,Dotcomgiftshop Gift Voucher £100.00,1,2011-08-02,83.33,Unknown,United Kingdom,83.33
562120,21506,"FANCY FONT BIRTHDAY CARD, ",36,2011-08-02,0.42,13756,United Kingdom,15.12
562127,47504K,ENGLISH ROSE GARDEN SECATEURS,12,2011-08-03,0.79,13717,United Kingdom,9.48
562157,23174,REGENCY SUGAR BOWL GREEN,12,2011-08-03,4.15,16012,United Kingdom,49.8
562199,23191,BUNDLE OF 3 RETRO NOTE BOOKS,2,2011-08-03,1.65,12748,United Kingdom,3.3
562264,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,2011-08-03,2.92,Unknown,United Kingdom,2.92
562273,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2011-08-04,1.25,12502,Spain,30.0
562339,22099,CARAVAN SQUARE TISSUE BOX,4,2011-08-04,0.39,13571,United Kingdom,1.56
562355,21452,TOADSTOOL MONEY BOX,12,2011-08-04,2.95,14768,United Kingdom,35.40000000000001
562365,22699,ROSES REGENCY TEACUP AND SAUCER ,1,2011-08-04,2.95,14344,United Kingdom,2.95
562377,20752,BLUE POLKADOT WASHING UP GLOVES,2,2011-08-04,2.1,14535,United Kingdom,4.2
562417,22595,GINGHAM HEART DECORATION,1,2011-08-04,1.63,Unknown,United Kingdom,1.63
562417,35916B,BLUE FELT HANGING HEART WITH FLOWER,1,2011-08-04,0.63,Unknown,United Kingdom,0.63
562420,22135,MINI LADLE LOVE HEART PINK,1,2011-08-04,0.83,Unknown,United Kingdom,0.83
562429,22728,ALARM CLOCK BAKELIKE PINK,6,2011-08-04,3.75,13767,United Kingdom,22.5
562445,22915,ASSORTED BOTTLE TOP  MAGNETS ,24,2011-08-04,0.42,12417,Belgium,10.08
562517,22382,LUNCH BAG SPACEBOY DESIGN ,2,2011-08-05,1.65,15719,United Kingdom,3.3
562524,22961,JAM MAKING SET PRINTED,96,2011-08-05,1.25,15201,United Kingdom,120.0
562539,21239,PINK  POLKADOT CUP,2,2011-08-05,0.85,17220,United Kingdom,1.7
562549,20979,36 PENCILS TUBE RED RETROSPOT,8,2011-08-05,1.25,17092,United Kingdom,10.0
562553,23289,DOLLY GIRL CHILDRENS BOWL,1,2011-08-05,2.46,Unknown,United Kingdom,2.46
562558,21497,FANCY FONTS BIRTHDAY WRAP,25,2011-08-05,0.42,13451,United Kingdom,10.5
562560,22532,MAGIC DRAWING SLATE LEAP FROG ,4,2011-08-05,0.42,14156,EIRE,1.68
562587,22979,PANTRY WASHING UP BRUSH,1,2011-08-07,1.45,15640,United Kingdom,1.45
562608,23342,MINT DINER WALL CLOCK,2,2011-08-08,8.5,15502,United Kingdom,17.0
562688,21165,BEWARE OF THE CAT METAL SIGN ,1,2011-08-08,1.69,13869,United Kingdom,1.69
562688,23244,ROUND STORAGE TIN VINTAGE LEAF,6,2011-08-08,1.95,13869,United Kingdom,11.7
562715,23282,FOLDING BUTTERFLY MIRROR IVORY ,1,2011-08-08,2.46,Unknown,United Kingdom,2.46
562733,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-08-09,0.85,14626,United Kingdom,8.5
562771,21524,DOORMAT SPOTTY HOME SWEET HOME,10,2011-08-09,6.75,13113,United Kingdom,67.5
562776,21217,RED RETROSPOT ROUND CAKE TINS,2,2011-08-09,9.95,14180,United Kingdom,19.9
562780,23343,JUMBO BAG VINTAGE CHRISTMAS ,6,2011-08-09,2.08,14901,United Kingdom,12.48
562792,21179,NO JUNK MAIL METAL SIGN,10,2011-08-09,0.39,17634,United Kingdom,3.9
C562795,23235,STORAGE TIN VINTAGE LEAF,-1,2011-08-09,2.89,13709,United Kingdom,-2.89
561906,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,2011-08-01,1.45,12921,United Kingdom,34.8
561911,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,2011-08-01,5.95,12534,Germany,17.85
561917,23080,RED METAL BOX TOP SECRET,1,2011-08-01,8.25,16904,United Kingdom,8.25
561926,85066,CREAM SWEETHEART MINI CHEST,2,2011-08-01,12.75,12749,United Kingdom,25.5
561967,47504H,ENGLISH ROSE SPIRIT LEVEL ,1,2011-08-01,0.79,12844,United Kingdom,0.79
562024,21918,SET 12 KIDS COLOUR  CHALK STICKS,1,2011-08-01,0.83,Unknown,United Kingdom,0.83
562024,23287,RED VINTAGE SPOT BEAKER,2,2011-08-01,1.63,Unknown,United Kingdom,3.26
562024,84991,60 TEATIME FAIRY CAKE CASES,1,2011-08-01,1.25,Unknown,United Kingdom,1.25
562024,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-08-01,1.69,Unknown,United Kingdom,13.52
562031,85014B,RED RETROSPOT UMBRELLA,1,2011-08-01,5.95,16984,United Kingdom,5.95
562034,22191,IVORY DINER WALL CLOCK,2,2011-08-02,8.5,12449,Belgium,17.0
562037,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2011-08-02,4.25,13023,United Kingdom,17.0
562045,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-08-02,4.95,12644,Germany,14.85
562087,22282,12 EGG HOUSE PAINTED WOOD,1,2011-08-02,12.75,14606,United Kingdom,12.75
562093,22095,LADS ONLY TISSUE BOX,12,2011-08-02,1.25,13777,United Kingdom,15.0
562096,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,2,2011-08-02,1.45,15311,United Kingdom,2.9
562100,20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,4,2011-08-02,6.35,13437,United Kingdom,25.4
562104,21239,PINK  POLKADOT CUP,4,2011-08-02,1.63,Unknown,United Kingdom,6.52
562104,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,2,2011-08-02,4.13,Unknown,United Kingdom,8.26
562114,20723,STRAWBERRY CHARLOTTE BAG,2,2011-08-02,1.63,Unknown,United Kingdom,3.26
562120,22028,PENNY FARTHING BIRTHDAY CARD,72,2011-08-02,0.36,13756,United Kingdom,25.92
562133,79051A,SMOKEY GREY COLOUR D.O.F. GLASS,12,2011-08-03,0.29,16419,United Kingdom,3.48
C562139,84978,HANGING HEART JAR T-LIGHT HOLDER,-1,2011-08-03,1.25,12921,United Kingdom,-1.25
562157,21974,SET OF 36 PAISLEY FLOWER DOILIES,2,2011-08-03,1.45,16012,United Kingdom,2.9
C562188,85099B,JUMBO BAG RED RETROSPOT,-100,2011-08-03,1.79,12748,United Kingdom,-179.0
562210,22077,6 RIBBONS RUSTIC CHARM,12,2011-08-03,1.65,13486,United Kingdom,19.8
562210,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-08-03,1.45,13486,United Kingdom,17.4
