InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
546252,21733,RED HANGING HEART T-LIGHT HOLDER,6,2011-03-10,2.95,14930,Channel Islands,17.7
546261,20735,BLACK MINI TAPE MEASURE ,1,2011-03-10,0.85,17841,United Kingdom,0.85
546305,23050,RECYCLED ACAPULCO MAT GREEN,1,2011-03-10,8.25,14056,United Kingdom,8.25
546317,22819,"BIRTHDAY CARD, RETRO SPOT",12,2011-03-11,0.42,14913,United Kingdom,5.04
546326,82580,BATHROOM METAL SIGN,250,2011-03-11,0.42,13798,United Kingdom,105.0
546365,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,2011-03-11,8.25,12520,Germany,16.5
546383,35922,EASTER BUNNY WREATH,5,2011-03-11,4.95,13654,United Kingdom,24.75
546388,22625,RED KITCHEN SCALES,1,2011-03-11,16.63,Unknown,United Kingdom,16.63
546388,21242,RED RETROSPOT PLATE ,2,2011-03-11,3.29,Unknown,United Kingdom,6.58
546389,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-03-11,2.95,16801,United Kingdom,17.7
546440,22984,CARD GINGHAM ROSE ,12,2011-03-14,0.42,16871,United Kingdom,5.04
546498,21527,RED RETROSPOT TRADITIONAL TEAPOT ,2,2011-03-14,7.95,15493,United Kingdom,15.9
546509,21259,VICTORIAN SEWING BOX SMALL ,4,2011-03-14,5.95,14911,EIRE,23.8
546528,85187,S/12 MINI RABBIT EASTER,5,2011-03-14,1.65,15311,United Kingdom,8.25
546538,15056N,EDWARDIAN PARASOL NATURAL,9,2011-03-14,5.95,16327,United Kingdom,53.55
546542,22090,PAPER BUNTING RETROSPOT,2,2011-03-14,2.95,13263,United Kingdom,5.9
546549,47590B,PINK HAPPY BIRTHDAY BUNTING,2,2011-03-14,5.45,17799,United Kingdom,10.9
546646,20981,12 PENCILS TALL TUBE WOODLAND,24,2011-03-15,0.85,13716,United Kingdom,20.4
546652,22189,CREAM HEART CARD HOLDER,1,2011-03-15,8.29,Unknown,United Kingdom,8.29
546652,84970l,SINGLE HEART ZINC T-LIGHT HOLDER,10,2011-03-15,2.08,Unknown,United Kingdom,20.8
546670,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-03-15,8.5,13451,United Kingdom,17.0
546760,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,2011-03-16,8.5,12597,Spain,17.0
546774,21192,WHITE BELL HONEYCOMB PAPER ,2,2011-03-16,1.65,14505,United Kingdom,3.3
546875,22282,12 EGG HOUSE PAINTED WOOD,2,2011-03-17,12.75,12514,Italy,25.5
546884,48129,DOORMAT TOPIARY,1,2011-03-17,15.79,Unknown,United Kingdom,15.79
546896,35915C,PEACH KNITTED HEN ,8,2011-03-17,0.83,Unknown,United Kingdom,6.64
546896,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,1,2011-03-17,0.83,Unknown,United Kingdom,0.83
546896,84228,HEN HOUSE W CHICK STANDING,1,2011-03-17,0.83,Unknown,United Kingdom,0.83
546922,15056N,EDWARDIAN PARASOL NATURAL,3,2011-03-18,5.95,14110,United Kingdom,17.85
546925,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,96,2011-03-18,1.45,12647,Germany,139.2
546972,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2011-03-18,3.29,Unknown,United Kingdom,3.29
546974,84987,SET OF 36 TEATIME PAPER DOILIES,1,2011-03-18,3.75,Unknown,United Kingdom,3.75
546980,22071,SMALL WHITE RETROSPOT MUG IN BOX ,6,2011-03-18,3.75,13591,United Kingdom,22.5
546982,23003,TRAVEL CARD WALLET VINTAGE ROSE ,2,2011-03-18,0.42,15483,United Kingdom,0.84
C546997,22396,MAGNETS PACK OF 4 RETRO PHOTO,-6,2011-03-18,1.25,12748,United Kingdom,-7.5
547019,22382,LUNCH BAG SPACEBOY DESIGN ,1,2011-03-18,1.65,17841,United Kingdom,1.65
547044,22344,PARTY PIZZA DISH PINK POLKADOT,6,2011-03-20,0.85,14071,United Kingdom,5.1
547048,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-03-20,0.85,14911,EIRE,10.2
547067,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-03-20,1.95,12921,United Kingdom,19.5
547071,22961,JAM MAKING SET PRINTED,24,2011-03-20,1.45,12693,Germany,34.8
547075,48184,DOORMAT ENGLISH ROSE ,10,2011-03-20,6.75,15288,United Kingdom,67.5
547106,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2011-03-21,1.95,15039,United Kingdom,19.5
547108,22507,MEMO BOARD RETROSPOT  DESIGN,1,2011-03-21,4.95,14659,United Kingdom,4.95
547114,21239,PINK  POLKADOT CUP,2,2011-03-21,0.85,14688,United Kingdom,1.7
547114,21172,PARTY METAL SIGN ,5,2011-03-21,1.45,14688,United Kingdom,7.25
547134,22879,NUMBER TILE VINTAGE FONT 0,2,2011-03-21,1.95,15996,United Kingdom,3.9
547202,20723,STRAWBERRY CHARLOTTE BAG,2,2011-03-21,0.85,17841,United Kingdom,1.7
547206,84581,DOG TOY WITH PINK CROCHET SKIRT,1,2011-03-21,3.75,16791,United Kingdom,3.75
547243,21908,CHOCOLATE THIS WAY METAL SIGN,1,2011-03-21,2.1,17231,United Kingdom,2.1
547247,21498,RED RETROSPOT WRAP ,25,2011-03-22,0.42,18225,United Kingdom,10.5
547248,21539,RED RETROSPOT BUTTER DISH,1,2011-03-22,9.96,Unknown,United Kingdom,9.96
547249,22073,RED RETROSPOT STORAGE JAR,2,2011-03-22,7.46,Unknown,United Kingdom,14.92
547358,48116,DOORMAT MULTICOLOUR STRIPE,1,2011-03-22,7.95,15998,United Kingdom,7.95
547358,22817,CARD SUKI BIRTHDAY,12,2011-03-22,0.42,15998,United Kingdom,5.04
547358,84997D,CHILDRENS CUTLERY POLKADOT PINK,2,2011-03-22,4.15,15998,United Kingdom,8.3
547365,21389,IVORY HANGING DECORATION  BIRD,24,2011-03-22,0.85,12775,Netherlands,20.4
547367,18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,2,2011-03-22,2.55,15437,United Kingdom,5.1
547367,20829,GLITTER HANGING BUTTERFLY STRING,1,2011-03-22,2.1,15437,United Kingdom,2.1
547367,22099,CARAVAN SQUARE TISSUE BOX,1,2011-03-22,1.25,15437,United Kingdom,1.25
547372,21535,RED RETROSPOT SMALL MILK JUG,1,2011-03-22,2.55,16374,United Kingdom,2.55
547372,22499,WOODEN UNION JACK BUNTING,4,2011-03-22,5.95,16374,United Kingdom,23.8
547372,22456,NATURAL SLATE CHALKBOARD LARGE ,2,2011-03-22,4.95,16374,United Kingdom,9.9
547382,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2011-03-22,1.69,15457,United Kingdom,8.45
547382,22556,PLASTERS IN TIN CIRCUS PARADE ,2,2011-03-22,1.65,15457,United Kingdom,3.3
547383,21537,RED RETROSPOT PUDDING BOWL,4,2011-03-22,4.25,12613,Germany,17.0
547399,48194,DOORMAT HEARTS,1,2011-03-22,14.13,Unknown,United Kingdom,14.13
547400,21121,SET/10 RED POLKADOT PARTY CANDLES,1,2011-03-22,2.46,Unknown,United Kingdom,2.46
547401,22855,FINE WICKER HEART ,5,2011-03-22,1.25,17576,United Kingdom,6.25
547413,22794,SWEETHEART WIRE MAGAZINE RACK,2,2011-03-23,7.95,13475,United Kingdom,15.9
547492,21213,PACK OF 72 SKULL CAKE CASES,24,2011-03-23,0.55,12604,France,13.2
547496,22428,ENAMEL FIRE BUCKET CREAM,6,2011-03-23,6.95,18075,United Kingdom,41.7
547507,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2011-03-23,0.65,16859,United Kingdom,15.6
547510,22537,MAGIC DRAWING SLATE DINOSAUR,24,2011-03-23,0.42,15245,United Kingdom,10.08
547514,21169,YOU'RE CONFUSING ME METAL SIGN ,12,2011-03-23,1.69,17486,United Kingdom,20.28
547551,21272,SALLE DE BAIN HOOK,1,2011-03-23,2.46,Unknown,United Kingdom,2.46
547551,DOT,DOTCOM POSTAGE,1,2011-03-23,128.25,Unknown,United Kingdom,128.25
547552,21169,YOU'RE CONFUSING ME METAL SIGN ,1,2011-03-23,4.13,Unknown,United Kingdom,4.13
547554,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,8,2011-03-23,9.95,17858,United Kingdom,79.6
547563,22570,FELTCRAFT CUSHION RABBIT,4,2011-03-24,3.75,15651,United Kingdom,15.0
547569,22672,FRENCH BATHROOM SIGN BLUE METAL,12,2011-03-24,1.65,17491,United Kingdom,19.8
547576,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-03-24,3.25,16620,United Kingdom,19.5
547577,82581,TOILET METAL SIGN,12,2011-03-24,0.55,13183,United Kingdom,6.600000000000001
547578,21215,IVORY PAPER CUP CAKE CASES ,24,2011-03-24,0.55,13089,United Kingdom,13.2
547655,48187,DOORMAT NEW ENGLAND,2,2011-03-24,7.95,14267,United Kingdom,15.9
547655,21877,HOME SWEET HOME MUG,12,2011-03-24,1.25,14267,United Kingdom,15.0
547656,85231B,CINAMMON SET OF 9 T-LIGHTS,1,2011-03-24,0.85,13263,United Kingdom,0.85
547663,22853,CAT BOWL VINTAGE CREAM,10,2011-03-24,3.25,16022,United Kingdom,32.5
547672,22986,GINGHAM ROSE WRAP,25,2011-03-24,0.42,17754,United Kingdom,10.5
547709,22507,MEMO BOARD RETROSPOT  DESIGN,1,2011-03-24,4.95,18109,United Kingdom,4.95
547809,22523,CHILDS GARDEN FORK PINK,2,2011-03-25,0.85,12748,United Kingdom,1.7
547830,22227,HANGING HEART MIRROR DECORATION ,1,2011-03-25,1.25,Unknown,United Kingdom,1.25
C547859,85027L,FRENCH CHATEAU LARGE PLATTER ,-5,2011-03-27,1.95,13725,United Kingdom,-9.75
547867,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,3,2011-03-27,2.1,13357,United Kingdom,6.300000000000001
547871,20713,JUMBO BAG OWLS,3,2011-03-27,1.95,16931,United Kingdom,5.85
547882,35810B,ENAMEL BLUE RIM COFFEE CONTAINER,12,2011-03-28,0.83,14911,EIRE,9.959999999999999
547888,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-03-28,1.65,13368,United Kingdom,16.5
547892,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-03-28,0.85,12669,France,10.2
547898,48184,DOORMAT ENGLISH ROSE ,4,2011-03-28,7.95,16523,United Kingdom,31.8
547937,23176,ABC TREASURE BOOK BOX ,1,2011-03-28,2.25,15068,United Kingdom,2.25
547938,90124B,BLUE MURANO TWIST NECKLACE,1,2011-03-28,9.95,13901,United Kingdom,9.95
547967,21658,GLASS  BEURRE DISH,1,2011-03-28,8.29,Unknown,United Kingdom,8.29
547967,21992,VINTAGE PAISLEY STATIONERY SET,1,2011-03-28,2.46,Unknown,United Kingdom,2.46
547969,20978,36 PENCILS TUBE SKULLS,7,2011-03-28,1.25,17238,United Kingdom,8.75
547987,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2011-03-29,0.85,17428,United Kingdom,8.5
548017,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-03-29,0.55,16871,United Kingdom,13.2
548151,22296,HEART IVORY TRELLIS LARGE,12,2011-03-29,1.65,13803,United Kingdom,19.8
548156,22551,PLASTERS IN TIN SPACEBOY,1,2011-03-29,1.65,14871,United Kingdom,1.65
548162,22652,TRAVEL SEWING KIT,6,2011-03-29,4.13,Unknown,United Kingdom,24.78
548168,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,5,2011-03-29,4.13,Unknown,United Kingdom,20.65
548185,22077,6 RIBBONS RUSTIC CHARM,12,2011-03-29,1.65,15628,United Kingdom,19.8
C548193,21731,RED TOADSTOOL LED NIGHT LIGHT,-2,2011-03-29,1.65,14680,United Kingdom,-3.3
548194,84637,KITCHEN FLOWER POTS WALL PLAQUE,1,2011-03-29,4.96,Unknown,United Kingdom,4.96
548203,22745,POPPY'S PLAYHOUSE BEDROOM ,37,2011-03-29,4.95,Unknown,United Kingdom,183.15
548210,22166,WALL MIRROR RECTANGLE DIAMANTE PINK,1,2011-03-29,7.95,14606,United Kingdom,7.95
548212,20685,DOORMAT RED RETROSPOT,2,2011-03-30,7.95,12456,Switzerland,15.9
548327,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-03-30,2.95,16788,United Kingdom,29.5
548331,21754,HOME BUILDING BLOCK WORD,3,2011-03-30,5.95,13047,United Kingdom,17.85
548358,20718,RED RETROSPOT SHOPPER BAG,10,2011-03-30,1.25,15832,United Kingdom,12.5
548373,22448,PIN CUSHION BABUSHKA RED,1,2011-03-30,6.63,Unknown,United Kingdom,6.63
548388,23077,DOUGHNUT LIP GLOSS ,24,2011-03-30,1.25,13268,United Kingdom,30.0
548404,22741,FUNKY DIVA PEN,48,2011-03-31,0.85,16398,United Kingdom,40.8
548409,22072,RED RETROSPOT TEA CUP AND SAUCER ,24,2011-03-31,3.39,12731,France,81.36
548461,22241,GARLAND WOODEN HAPPY EASTER,2,2011-03-31,1.25,14527,United Kingdom,2.5
548461,22939,APRON APPLE DELIGHT,1,2011-03-31,4.95,14527,United Kingdom,4.95
548496,22431,WATERING CAN BLUE ELEPHANT,1,2011-03-31,1.95,12678,France,1.95
548502,22730,ALARM CLOCK BAKELIKE IVORY,1,2011-03-31,8.29,Unknown,United Kingdom,8.29
548511,22845,VINTAGE CREAM CAT FOOD CONTAINER,5,2011-03-31,6.35,14056,United Kingdom,31.75
548514,21218,RED SPOTTY BISCUIT TIN,1,2011-03-31,8.29,Unknown,United Kingdom,8.29
548520,85132A,CHARLIE + LOLA BISCUITS TINS,12,2011-03-31,1.95,13126,United Kingdom,23.4
548522,22457,NATURAL SLATE HEART CHALKBOARD ,1,2011-03-31,5.79,Unknown,United Kingdom,5.79
548522,22798,ANTIQUE GLASS DRESSING TABLE POT,1,2011-03-31,5.79,Unknown,United Kingdom,5.79
545221,21114,LAVENDER SCENTED FABRIC HEART,10,2011-03-01,1.25,14740,United Kingdom,12.5
545227,84821,DANISH ROSE DELUXE COASTER,24,2011-03-01,0.85,12428,Finland,20.4
545232,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,8,2011-03-01,2.1,15676,United Kingdom,16.8
545238,22029,SPACEBOY BIRTHDAY CARD,12,2011-03-01,0.42,15241,United Kingdom,5.04
545321,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-03-01,0.85,12747,United Kingdom,10.2
545338,21174,POTTERING IN THE SHED METAL SIGN,1,2011-03-01,2.08,17449,United Kingdom,2.08
545339,22908,PACK OF 20 NAPKINS RED APPLES,12,2011-03-02,0.85,14292,United Kingdom,10.2
545344,21912,VINTAGE SNAKES & LADDERS,8,2011-03-02,3.75,16678,United Kingdom,30.0
545348,90185D,CRYSTAL DIAMANTE EXPANDABLE RING,6,2011-03-02,4.25,12913,United Kingdom,25.5
545398,21313,GLASS HEART T-LIGHT HOLDER ,24,2011-03-02,0.85,13722,United Kingdom,20.4
C545436,20725,LUNCH BAG RED RETROSPOT,-1,2011-03-02,1.65,13093,United Kingdom,-1.65
545445,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-03-02,2.95,17738,United Kingdom,17.7
545447,22961,JAM MAKING SET PRINTED,12,2011-03-02,1.45,17426,United Kingdom,17.4
545469,48116,DOORMAT MULTICOLOUR STRIPE,2,2011-03-03,7.95,17646,United Kingdom,15.9
545503,20725,LUNCH BAG RED RETROSPOT,2,2011-03-03,1.65,15719,United Kingdom,3.3
545568,21844,RED RETROSPOT MUG,2,2011-03-03,5.79,Unknown,United Kingdom,11.58
545589,21422,PORCELAIN ROSE SMALL,16,2011-03-04,0.85,17001,United Kingdom,13.6
545663,22268,EASTER DECORATION SITTING BUNNY,12,2011-03-04,0.85,13491,United Kingdom,10.2
545685,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1,2011-03-06,2.95,14499,United Kingdom,2.95
545696,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2011-03-06,8.95,15696,United Kingdom,17.9
545707,21915,RED  HARMONICA IN BOX ,240,2011-03-07,1.06,13881,United Kingdom,254.4
545719,22799,SWEETHEART WIRE FRUIT BOWL,4,2011-03-07,8.5,13344,United Kingdom,34.0
545797,47566,PARTY BUNTING,1,2011-03-07,4.95,16225,United Kingdom,4.95
545842,21218,RED SPOTTY BISCUIT TIN,6,2011-03-07,3.75,15498,United Kingdom,22.5
545895,22728,ALARM CLOCK BAKELIKE PINK,1,2011-03-07,7.46,Unknown,United Kingdom,7.46
545895,84992,72 SWEETHEART FAIRY CAKE CASES,3,2011-03-07,1.25,Unknown,United Kingdom,3.75
545897,84422,PINK/BLUE DISC/MIRROR STRING,1,2011-03-07,1.63,Unknown,United Kingdom,1.63
545897,20963,APPLE BATH SPONGE,6,2011-03-07,1.25,Unknown,United Kingdom,7.5
545913,82600,NO SINGING METAL SIGN,12,2011-03-08,2.1,16779,United Kingdom,25.2
545916,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-08,4.95,12528,Germany,14.85
545995,22284,HEN HOUSE DECORATION,6,2011-03-08,1.65,15023,United Kingdom,9.899999999999999
546003,22853,CAT BOWL VINTAGE CREAM,3,2011-03-08,3.25,16712,United Kingdom,9.75
546005,48138,DOORMAT UNION FLAG,2,2011-03-08,7.95,14426,United Kingdom,15.9
546007,85211,S/4 GROOVY CAT MAGNETS,1,2011-03-08,3.29,Unknown,United Kingdom,3.29
546007,90158,ST TROPEZ NECKLACE,1,2011-03-08,4.98,Unknown,United Kingdom,4.98
546087,79000,MOROCCAN TEA GLASS,24,2011-03-09,0.85,13026,United Kingdom,20.4
546091,21498,RED RETROSPOT WRAP ,25,2011-03-09,0.42,14936,Channel Islands,10.5
546105,22860,EASTER TIN CHICKS PINK DAISY,1,2011-03-09,1.65,14662,United Kingdom,1.65
546215,22383,LUNCH BAG SUKI DESIGN ,2,2011-03-10,1.65,14713,United Kingdom,3.3
546246,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,24,2011-03-10,1.25,14841,United Kingdom,30.0
546252,21754,HOME BUILDING BLOCK WORD,3,2011-03-10,5.95,14930,Channel Islands,17.85
546365,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-03-11,2.1,12520,Germany,12.6
546365,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-03-11,1.25,12520,Germany,15.0
546367,22423,REGENCY CAKESTAND 3 TIER,16,2011-03-11,10.95,15513,United Kingdom,175.2
546383,85099F,JUMBO BAG STRAWBERRY,10,2011-03-11,1.95,13654,United Kingdom,19.5
546388,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-03-11,8.29,Unknown,United Kingdom,16.58
546394,22301,COFFEE MUG CAT + BIRD DESIGN,6,2011-03-11,2.55,17164,United Kingdom,15.3
546403,22907,PACK OF 20 NAPKINS PANTRY DESIGN,36,2011-03-11,0.85,16766,United Kingdom,30.6
546406,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,2011-03-11,1.63,Unknown,United Kingdom,1.63
546479,47566,PARTY BUNTING,12,2011-03-14,4.95,12682,France,59.40000000000001
546510,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-03-14,0.42,16353,United Kingdom,10.08
546537,20723,STRAWBERRY CHARLOTTE BAG,4,2011-03-14,0.85,15005,United Kingdom,3.4
546569,23194,GYMKHANA TREASURE BOOK BOX,8,2011-03-15,2.25,14016,EIRE,18.0
546643,84378,SET OF 3 HEART COOKIE CUTTERS,12,2011-03-15,1.25,16214,United Kingdom,15.0
546649,20713,JUMBO BAG OWLS,3,2011-03-15,4.13,Unknown,United Kingdom,12.39
546656,48138,DOORMAT UNION FLAG,1,2011-03-15,14.13,Unknown,United Kingdom,14.13
546662,21756,BATH BUILDING BLOCK WORD,3,2011-03-15,5.95,16782,United Kingdom,17.85
546669,22697,GREEN REGENCY TEACUP AND SAUCER,12,2011-03-15,2.95,14226,United Kingdom,35.40000000000001
546670,85188A,GREEN METAL SWINGING BUNNY,6,2011-03-15,0.85,13451,United Kingdom,5.1
546678,22652,TRAVEL SEWING KIT,10,2011-03-15,1.65,12681,France,16.5
546679,22553,PLASTERS IN TIN SKULLS,3,2011-03-15,1.65,13121,United Kingdom,4.949999999999999
546771,22680,FRENCH BLUE METAL DOOR SIGN 5,3,2011-03-16,1.25,17515,United Kingdom,3.75
546774,21671,RED SPOT CERAMIC DRAWER KNOB,1,2011-03-16,1.25,14505,United Kingdom,1.25
546789,85099C,JUMBO  BAG BAROQUE BLACK WHITE,500,2011-03-17,1.65,15769,United Kingdom,825.0
546850,22029,SPACEBOY BIRTHDAY CARD,12,2011-03-17,0.42,13268,United Kingdom,5.04
546850,22467,GUMBALL COAT RACK,3,2011-03-17,2.55,13268,United Kingdom,7.649999999999999
546883,22517,CHILDS GARDEN RAKE PINK,6,2011-03-17,2.1,13707,United Kingdom,12.6
546884,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2011-03-17,15.79,Unknown,United Kingdom,15.79
546891,84596G,SMALL CHOCOLATES PINK BOWL,1,2011-03-17,0.83,Unknown,United Kingdom,0.83
546892,35810A,ENAMEL PINK COFFEE CONTAINER,2,2011-03-17,2.46,Unknown,United Kingdom,4.92
